Abelmoschus esculentus	Piżmian jadalny
Allium angulosum	Czosnek kątowaty
Allium ascalonicum	Czosnek askaloński
Allium caeruleum	Czosnek błękitny
Allium carinatum	Czosnek grzebieniasty
Allium cepa	Cebula zwyczajna
Allium cristophii	Czosnek białawy
Allium fistulosum	Czosnek dęty
Allium flavum	Allium flavum
Allium giganteum	Czosnek olbrzymi
Allium karataviense	Czosnek karatawski
Allium lusitanicum	Allium lusitanicum
Allium montanum	Czosnek skalny
Allium moschatum	Allium moschatum
Allium oleraceum	Czosnek zielonawy
Allium oreophilum	Czosnek kazachstański
Allium paradoxum	Czosnek dziwny
Allium ramosum	Czosnek wonny
Allium rotundum	Czosnek kulisty
Allium sativum	Czosnek pospolity
Allium schoenoprasum	Szczypiorek
Allium scorodoprasum	Czosnek wężowy
Allium sibiricum	Czosnek syberyjski
Allium sphaerocephalon	Czosnek główkowaty
Allium strictum	Czosnek sztywny
Allium ursinum	Czosnek niedźwiedzi
Allium victorialis	Czosnek siatkowaty
Allium vineale	Czosnek winnicowy
Alnus cordata	Olsza sercowata
Alnus glutinosa	Olsza czarna
Alnus hirsuta	Olsza szorstka
Alnus incana	Olsza szara
Alnus japonica	Olsza japońska
Alnus rubra	Olsza czerwona
Alnus viridis	Olsza zielona
Alocasia macrorrhizos	Alokazja olbrzymia
Aloe arborescens	Aloes drzewiasty
Aloe aristata	Aloes ościsty
Aloe ferox	Aloes uzbrojony
Aloe humilis	Aloes niski
Aloe succotrina	Aloes sokotrzański
Aloe vera	Aloes zwyczajny
Aloina rigida	Soczeniczek gwiazdkowaty
Alopecurus aequalis	Wyczyniec czerwonożółty
Alopecurus arundinaceus	Wyczyniec pęcherzykowaty
Alopecurus geniculatus	Wyczyniec kolankowy
Alopecurus myosuroides	Wyczyniec polny
Alopecurus pratensis	Wyczyniec łąkowy
Aloysia citrodora	Lippia trójlistna
Alpinia galanga	Alpinia galgant
Alpinia officinarum	Alpinia lekarska
Althaea officinalis	Prawoślaz lekarski
Alyssum alyssoides	Smagliczka kielichowata
Alyssum desertorum	Smagliczka drobna
Alyssum montanum	Smagliczka pagórkowa
Amaranthus albus	Szarłat biały
Amaranthus caudatus	Szarłat zwisły
Amaranthus cruentus	Szarłat wyniosły
Amaranthus hybridus	Szarłat prosty
Amaranthus lividus	Szarłat siny
Amaranthus retroflexus	Szarłat szorstki
Amaryllis belladonna	Amarylis nadobny
Amblyodon dealbatus	Tępoząb białawy
Ambrosia artemisiifolia	Ambrozja bylicolistna
Ambrosia psilostachya	Ambrozja zachodnia
Ambrosina bassii	Ambrosina bassii
Amelanchier lamarckii	Świdośliwa Lamarcka
Amelanchier spicata	Świdośliwka kłosowa
Ammi majus	Aminek wielki
Ammi visnaga	Aminek egipski
Ammocalamagrostis baltica	Trzcinnikownica nadbrzeżna
Ammophila arenaria	Piaskownica zwyczajna
Amorpha fruticosa	Amorfa krzewiasta
Ampelopsis glandulosa	Winnik zmienny
Amygdalus nana	Migdałowiec karłowaty
Anacamptis collina	Anacamptis collina
Anacamptis coriophora	Storczyk cuchnący
Anacamptis morio	Storczyk samczy
Anacamptis palustris	Storczyk błotny
Anacamptis pyramidalis	Koślaczek stożkowaty
Anacamptodon splachnoides	Krzywoząb podsadnikowy
Anacyclus officinarum	Bertram lekarski
Anagallis arvensis	Kurzyślad polny
Anagallis minima	Kurzyślad maleńki
Anchusa arvensis	Farbownik polny
Anchusa azurea	Farbownik lazurowy
Anchusa officinalis	Farbownik lekarski
Andromeda polifolia	Modrzewnica pospolita
Androsace alpina	Naradka alpejska
Androsace chamaejasme	Naradka włosista
Androsace lactea	Naradka mlecznobiała
Androsace obtusifolia	Naradka tępolistna
Androsace septentrionalis	Naradka północna
Anemone alpina	Sasanka alpejska
Anemone coronaria	Zawilec wieńcowy
Anemone hepatica	Przylaszczka pospolita
Anemone hupehensis	Zawilec chiński
Anemone narcissiflora	Zawilec narcyzowaty
Anemone nemorosa	Zawilec gajowy
Anemone patens	Sasanka otwarta
Anemone pulsatilla	Sasanka zwyczajna
Anemone ranunculoides	Zawilec żółty
Anemone scabiosa	Zawilec japoński
Anemone slavica	Sasanka słowacka
Anemone sylvestris	Zawilec wielkokwiatowy
Anemone vernalis	Sasanka wiosenna
Anethum graveolens	Koper ogrodowy
Angelica archangelica	Dzięgiel litwor
Angelica palustris	Starodub łąkowy
Angelica sinensis	Dzięgiel chiński
Angelica sylvestris	Dzięgiel leśny
Annona cherimola	Flaszowiec peruwiański
Antennaria carpatica	Ukwap karpacki
Antennaria dioica	Ukwap dwupienny
Anthemis arvensis	Rumian polny
Anthemis cotula	Rumian psi
Anthemis punctata	Rumian kropkowany
Anthemis ruthenica	Rumian ruski
Anthericum liliago	Pajęcznica liliowata
Anthericum ramosum	Pajęcznica gałęzista
Anthoxanthum aristatum	Tomka oścista
Anthoxanthum odoratum	Tomka wonna
Anthriscus caucalis	Trybula pospolita
Anthriscus cerefolium	Trybula ogrodowa
Anthriscus nitida	Trybula lśniąca
Anthriscus sylvestris	Trybula leśna
