Abelmoschus esculentus	Piżmian jadalny
Carex microglochin	Turzyca drobnozadziorkowa
Carex muskingumensis	Turzyca muskegońska
Carex nigra	Turzyca pospolita
Carex ornithopoda	Turzyca ptasie łapki
Carex pallescens	Turzyca blada
Carex pallidula	Turzyca bladozielona
Carex panicea	Turzyca prosowata
Carex paniculata	Turzyca prosowa
Carex parviflora	Turzyca czarna
Carex pauciflora	Turzyca skąpokwiatowa
Carex pediformis	Turzyca stopowata
Carex pendula	Turzyca zwisła
Carex pilulifera	Turzyca pigułkowata
Carex praecox	Turzyca wczesna
Carex pseudobrizoides	Turzyca Reichenbacha
Carex pseudocyperus	Turzyca nibyciborowata
Carex pulicaris	Turzyca pchla
Carex punctata	Turzyca punktowana
Carex remota	Turzyca rzadkokłosa
Carex repens	Turzyca poznańska
Carex riparia	Turzyca brzegowa
Carex rostrata	Turzyca dzióbkowata
Carex rupestris	Turzyca skalna
Carex secalina	Turzyca żytowata
Carex stenophylla	Turzyca wąskolistna
Carex strigosa	Turzyca zgrzebłowata
Carex supina	Turzyca delikatna
Carex sylvatica	Turzyca leśna
Carex umbrosa	Turzyca cienista
Nazwa łacińska	Nazwa polska
Carex vaginata	Turzyca luźnokwiatowa
Carex vesicaria	Turzyca pęcherzykowata
Carex vulpina	Turzyca lisia
Carica papaya	Melonowiec właściwy
Carlina acanthifolia subsp. utzka	Dziewięćsił popłocholistny
Carlina acaulis	Dziewięćsił bezłodygowy
Carlina biebersteinii	Dziewięćsił długolistny
Carlina vulgaris	Dziewięćsił pospolity
Carpinus betulus	Grab pospolity
Carpinus caroliniana	Grab amerykański
Carpinus orientalis	Grab wschodni
Carrichtera annua	Carrichtera annua
Carthamus tinctorius	Krokosz barwierski
Carum carvi	Kminek zwyczajny
Carya cordiformis	Orzesznik gorzki
Carya glabra	Orzesznik nagi
Carya illinoinensis	Orzesznik jadalny
Carya laciniosa	Orzesznik siedmiolistkowy
Carya ovata	Orzesznik pięciolistkowy
Cascabela thevetia	Tewecja peruwiańska
Castanea crenata	Kasztan japoński
Castanea mollissima	Kasztan chiński
Castanea sativa	Kasztan jadalny
Catabrosa aquatica	Brodobrzanka wodna
Catalpa bignonioides	Surmia bignoniowa
Catalpa ovata	Surmia żółtokwiatowa
Catharanthus roseus	Katarantus różowy
Caucalis platycarpos	Włóczydło polne
Cedrus atlantica	Cedr atlaski
Cedrus deodara	Cedr himalajski
Cedrus libani	Cedr libański
Ceiba speciosa	Puchowiec wspaniały
Celastrus orbiculatus	Dławisz okrągłolistny
Celosia argentea	Celozja srebrzysta
Celtis australis	Wiązowiec południowy
Celtis occidentalis	Wiązowiec zachodni
Cenolophium denudatum	Cenolofium nagie
Centaurea cineraria	Centaurea cineraria
Centaurea cyanus	Chaber bławatek
Centaurea galicicae	Centaurea galicicae
Centaurea iberica	Chaber gwieździsty
Centaurea jacea	Chaber łąkowy
Centaurea kotschyana	Chaber Kotschyego
Centaurea macrocephala	Chaber wielkogłówkowy
Centaurea mollis	Chaber miękkowłosy
Centaurea montana	Chaber górski
Centaurea pannonica	Chaber pannoński
Centaurea phrygia	Chaber austriacki
Centaurea scabiosa	Chaber driakiewnik
Centaurea soskae	Centaurea soskae
Centaurea stoebe	Chaber nadreński
Centaurea triumfettii	Chaber barwny
Centaurea uniflora	Chaber jednokwiatowy
Centaurium erythraea	Centuria pospolita
Centaurium littorale	Centuria nadbrzeżna
Centaurium pulchellum	Centuria nadobna
Centella asiatica	Wąkrotka azjatycka
Centranthus ruber	Ostrogowiec czerwony
Cephalanthera damasonium	Buławnik wielkokwiatowy
Cephalanthera longifolia	Buławnik mieczolistny
Cephalanthera rubra	Buławnik czerwony
Cephalanthus occidentalis	Guzikowiec zachodni
Cephalaria syriaca	Głowaczek syryjski
Cephalotaxus harringtonii	Głowocis japoński
Cephaëlis ipecacuanha	Ipekakuana prawdziwa
Cerastium alpinum	Rogownica alpejska
Cerastium arvense	Rogownica polna
Cerastium biebersteinii	Rogownica Biebersteina
Cerastium brachypetalum	Rogownica drobnokwiatowa
Cerastium dubium	Rogownica lepka
Cerastium fontanum	Rogownica źródlana
Cerastium holosteoides	Rogownica pospolita
Cerastium latifolium	Rogownica szerokolistna
Cerastium pumilum	Rogownica drobna
Cerastium tomentosum	Rogownica kutnerowata
Cerastium uniflorum	Rogownica jednokwiatowa
Ceratonia siliqua	Szarańczyn strąkowy
Ceratophyllum demersum	Rogatek sztywny
Ceratophyllum submersum	Rogatek krótkoszyjkowy
Ceratopteris thalictroides	Różdżyca rutewkowata
Ceratostigma willmottianum	Ceratostigma willmottianum
Cerbera manghas	Cerbera manghas
Cerbera odollam	Cerbera złocista
Cercidiphyllum japonicum	Grujecznik japoński
Cercis canadensis	Judaszowiec kanadyjski
Cercis siliquastrum	Judaszowiec południowy
Cerinthe minor	Ośmiał mniejszy
Cervaria rivini	Gorysz siny
Cestrum parqui	Cestrum parqui
Ceterach officinarum	Śledzionka skalna
Chaenomeles japonica	Pigwowiec japoński
Chaenorhinum minus	Lniczka mała
Chaerophyllum aromaticum	Świerząbek korzenny
Chaerophyllum hirsutum	Świerząbek orzęsiony
Chaerophyllum temulum	Świerząbek gajowy
Chamaecyparis lawsoniana	Cyprysik Lawsona
Chamaecyparis obtusa	Cyprysik tępołuskowy
Chamaecyparis pisifera	Cyprysik groszkowy
Chamaecytisus albus	Szczodrzeniec zmienny
Chamaecytisus ratisbonensis	Szczodrzeniec rozesłany
Chamaedaphne calyculata	Chamedafne północna
Chamaemelum nobile	Rumian rzymski
Chamaerops humilis	Karłatka niska
Chamorchis alpina	Potrostek alpejski
Chara aculeolata	Ramienica kolczasta
Chara aspera	Ramienica szorstka
Chara baltica	Ramienica bałtycka
Chara connivens	Ramienica zagięta
Chara contraria	Ramienica przeciwstawna
Chara globularis	Ramienica krucha
Chara hispida	Ramienica kosmata
Chara polyacantha	Ramienica wielokolczasta
Chara tenuispina	Ramienica cienko kolczasta
Chara virgata	Ramienica delikatna
Chara vulgaris	Ramienica pospolita
Chelidonium majus	Glistnik jaskółcze ziele
Chenopodiastrum murale	Komosa murowa
Chenopodium acerifolium	Komosa ostroklapowa
Chenopodium album	Komosa biała
Chenopodium bonus-henricus	Komosa strzałkowata
Chenopodium capitatum	Komosa główkowata
Chenopodium ficifolium	Komosa jesienna
Chenopodium glaucum	Komosa sina
Chenopodium hybridum	Komosa wielkolistna
Chenopodium opulifolium	Komosa kalinolistna
Chenopodium polyspermum	Komosa wielonasienna
Chenopodium quinoa	Komosa ryżowa
Chenopodium rubrum	Komosa czerwonawa
Chenopodium schraderanum	Komosa śmierdząca
Chenopodium strictum	Komosa wzniesiona
Chenopodium urbicum	Komosa trójkątna
Chenopodium vulvaria	Komosa mierzliwa
Chimaphila maculata	Chimaphila maculata
Chimaphila umbellata	Pomocnik baldaszkowy
Chimonanthus praecox	Zimokwiat wczesny
Chionanthus virginicus	Śniegowiec wirginijski
Chionodoxa luciliae	Śnieżnik lśniący
Chondrilla juncea	Chondrilla sztywna
Chrysanthemum coronarium	Złocień wieńcowy
Chrysanthemum zawadskii	Chryzantema Zawadzkiego
Chrysopogon zizanioides	Wetiweria pachnąca
Chrysosplenium alternifolium	Śledziennica skrętolistna
Chrysosplenium oppositifolium	Śledziennica naprzeciwlistna
Cicer arietinum	Ciecierzyca pospolita
Cicerbita alpina	Modrzyk górski
Cichorium endivia	Cykoria endywia
Cichorium intybus	Cykoria podróżnik
Cichorium pumilum	Cichorium pumilum
Cicuta virosa	Szalej jadowity
Cinnamomum camphora	Cynamonowiec kamforowy
Cinnamomum cassia	Cynamonowiec wonny
Cinnamomum glanduliferum	Cinnamomum glanduliferum
Cinnamomum verum	Cynamonowiec cejloński
Circaea alpina	Czartawa drobna
Circaea intermedia	Czartawa pośrednia
Circaea lutetiana	Czartawa pospolita
Cirsium acaule	Ostrożeń krótkołodygowy
Cirsium arvense	Ostrożeń polny
Cirsium canum	Ostrożeń siwy
Cirsium decussatum	Ostrożeń siedmiogrodzki
Cirsium eriophorum	Ostrożeń głowacz
Cirsium erisithales	Ostrożeń lepki
Cirsium helenioides	Ostrożeń dwubarwny
Cirsium oleraceum	Ostrożeń warzywny
Cirsium palustre	Ostrożeń błotny
Cirsium pannonicum	Ostrożeń pannoński
Cirsium rivulare	Ostrożeń łąkowy
Cirsium vulgare	Ostrożeń lancetowaty
Cirsium waldsteinii	Ostrożeń wschodniokarpacki
Cistanche tubulosa	Cistanche tubulosa
Cistus albidus	Cistus albidus
Cistus creticus	Czystek kreteński
Cistus laurifolius	Czystek wawrzynolistny
Cistus monspeliensis	Cistus monspeliensis
Citrullus colocynthis	Arbuz kolokwinta
Citrullus lanatus	Arbuz zwyczajny
Citrus aurantium	Pomarańcza gorzka
Citrus limon	Cytryna zwyczajna
Citrus maxima	Pomarańcza olbrzymia
Citrus medica	Cytron
Citrus paradisi	Grejpfrut
Citrus reticulata	Mandarynka (roślina)
Citrus sinensis	Pomarańcza chińska
Cladium mariscus	Kłoć wiechowata
Clarkia pulchella	Klarkia nadobna
Clarkia unguiculata	Klarkia wytworna
Clematis alpina	Powojnik alpejski
Clematis flammula	Powojnik południowy
Clematis florida	Powojnik kwiecisty
Clematis integrifolia	Powojnik całolistny
Clematis montana	Powojnik górski
Clematis recta	Powojnik prosty
Clematis vitalba	Powojnik pnący
Clematis x jouiniana	Powojnik pośredni
Clematis ×jackmanii	Powojnik Jackmana
Climacium dendroides	Drabik drzewkowaty
Clinopodium vulgare	Klinopodium pospolite
Cobaea scandens	Kobea pnąca
Cochlearia danica	Warzucha duńska
Cochlearia officinalis	Warzucha lekarska
Nazwa łacińska	Nazwa polska
Cochlearia polonica	Warzucha polska
Cochlearia tatrae	Warzucha tatrzańska
Coix lacryma-jobi	Łzawnica ogrodowa
Cola nitida	Kola błyszcząca
Colchicum autumnale	Zimowit jesienny
Colchicum bulbocodium	Colchicum bulbocodium
Coleanthus subtilis	Koleantus delikatny
Colocasia esculenta	Kolokazja jadalna
Colutea arborescens	Moszenki południowe
Colysis pteropus	Mikrozorium oskrzydlone
Comarum palustre	Siedmiopalecznik błotny
Comastoma tenellum	Goryczuszka lodnikowa
Commiphora africana	Commiphora africana
Commiphora habessinica	Balsamowiec mirra
Commiphora kataf	Commiphora kataf
Conioselinum vaginatum	Szczwoligorz tatarski
Conium maculatum	Szczwół plamisty
Conringia orientalis	Pszonacznik wschodni
Consolida ajacis	Ostróżeczka ogrodowa
Consolida orientalis	Ostróżeczka wschodnia
Consolida regalis	Ostróżeczka polna
Convallaria majalis	Konwalia majowa
Convolvulus althaeoides	Convolvulus althaeoides
Convolvulus arvensis	Powój polny
Convolvulus lineatus	Convolvulus lineatus
Convolvulus tricolor	Powój trójbarwny
Corallorhiza trifida	Żłobik koralowy
Corchorus olitorius	Juta kolorowa
Cordia sebestena	Kostliwka szkarłatna
Cordyline australis	Kordylina australijska
Coreopsis grandiflora	Nachyłek wielkokwiatowy
Coreopsis tinctoria	Nachyłek barwierski
Coreopsis verticillata	Nachyłek okółkowy
Coriandrum sativum	Kolendra siewna
Cornus alba	Dereń biały
Cornus controversa	Dereń pagodowy
Cornus florida	Dereń kwiecisty
Cornus kousa	Dereń kousa
Cornus mas	Dereń jadalny
Cornus sanguinea	Dereń świdwa
Cornus sericea	Dereń rozłogowy
Cornus suecica	Dereń szwedzki
Coronilla vaginalis	Cieciorka pochewkowata
Corrigiola litoralis	Nadbrzeżyca nadrzeczna
Corydalis capnoides	Kokorycz żółtawa
Corydalis cava	Kokorycz pusta
Corydalis intermedia	Kokorycz wątła
Corydalis lutea	Kokorycz żółta
Corydalis pumila	Kokorycz drobna
Corydalis solida	Kokorycz pełna
Corylopsis pauciflora	Leszczynowiec skąpokwiatowy
Corylopsis sinensis	Leszczynowiec chiński
Corylopsis spicata	Leszczynowiec kłosowy
Corylus avellana	Leszczyna pospolita
Corylus colurna	Leszczyna turecka
Corylus maxima	Leszczyna południowa
Corynephorus canescens	Szczotlicha siwa
Cosmos bipinnatus	Kosmos podwójnie pierzasty
Cota tinctoria	Rumian żółty
Cotinus coggygria	Perukowiec podolski
Cotoneaster acutifolius	Irga ostrolistna
Cotoneaster bullatus	Irga pomarszczona
Cotoneaster dammeri	Irga Dammera
Cotoneaster horizontalis	Irga pozioma
Cotoneaster integerrimus	Irga zwyczajna
Cotoneaster lucidus	Irga błyszcząca
Cotoneaster nebrodensis	Irga kutnerowata
Cotoneaster niger	Irga czarna
Cotoneaster pyrenaicus	Irga drobnolistna
Crambe maritima	Modrak morski
Crassula aquatica	Grubosz wodny
Crassula arborescens	Grubosz drzewiasty
Crassula ovata	Grubosz jajowaty
Crataegus azarolus	Głóg włoski
Crataegus coccinea	Głóg szkarłatny
Crataegus crus-galli	Głóg ostrogowy
Crataegus laevigata	Głóg dwuszyjkowy
Crataegus monogyna	Głóg jednoszyjkowy
Crepis biennis	Pępawa dwuletnia
Crepis conyzifolia	Pępawa wielkokwiatowa
Crepis foetida subsp. rhoeadifolia	Pępawa makolistna
Crepis jacquinii	Pępawa Jacquina
Crepis mollis	Pępawa miękka
Crepis paludosa	Pępawa błotna
Crepis praemorsa	Pępawa różyczkolistna
Crithmum maritimum	Kowniatek nadmorski
Crocus ancyrensis	Szafran turecki
Crocus caeruleus	Crocus caeruleus
Crocus flavus	Szafran żółtokwiatowy
Crocus sativus	Szafran uprawny
Crocus scepusiensis	Szafran spiski
Crocus vernus	Szafran wiosenny
Cruciata glabra	Przytulinka wiosenna
Cruciata laevipes	Przytulinka krzyżowa
Cryptocoryne aponogetifolia	Zwartka aponogetonolistna
Cryptocoryne wendtii	Zwartka Wendta
Cryptogramma crispa	Zmienka górska
Cryptomeria japonica	Kryptomeria japońska
Ctenidium molluscum	Grzebieniowiec piórkowaty
Cucumis melo	Ogórek melon
Cucumis sativus	Ogórek siewny
Cucurbita ficifolia	Dynia figolistna
Cucurbita maxima	Dynia olbrzymia
Cucurbita moschata	Dynia piżmowa
Cucurbita pepo	Dynia zwyczajna
Cuminum cyminum	Kmin rzymski
Cunninghamia lanceolata	Stroigła chińska
Cupressus arizonica	Cyprys arizoński
Cupressus goveniana	Cyprys Gowena
Cupressus guadalupensis	Cupressus guadalupensis
Cupressus macrocarpa	Cyprys wielkoszyszkowy
Cupressus nootkatensis	Cyprysik nutkajski
Cupressus sempervirens	Cyprys wiecznie zielony
Curcuma longa	Ostryż długi
Cuscuta campestris	Kanianka polna
Cuscuta epilinum	Kanianka lnowa
Cuscuta epithymum	Kanianka macierzankowa
Cuscuta europaea	Kanianka pospolita
Cuscuta gronovii	Kanianka amerykańska
Cuscuta lupuliformis	Kanianka wielka
Cuscuta trifolii	Kanianka koniczynowa
Cycas revoluta	Sagowiec odwinięty
Cyclamen persicum	Cyklamen perski
Cyclamen purpurascens	Cyklamen purpurowy
Cydonia oblonga	Pigwa pospolita
Cymbalaria muralis	Cymbalaria bluszczykowata
Cymbopogon citratus	Palczatka cytrynowa
Cymbopogon flexuosus	Palczatka pogięta
Cymbopogon martini	Palczatka imbirowa
Cynara cardunculus	Karczoch hiszpański
Cynara scolymus	Karczoch zwyczajny
Cynodon dactylon	Cynodon palczasty
Cynodontium gracilescens	Różnoząb smukły
Cynodontium tenellum	Różnoząb delikatny
Cynoglossum officinale	Ostrzeń pospolity
Cynomorium coccineum	Cynomorium szkarłatne
Cynosurus cristatus	Grzebienica pospolita
Cyperus alternifolius	Cibora zmienna
Cyperus esculentus	Cibora jadalna
Cyperus flavescens	Cibora żółta
Cyperus fuscus	Cibora brunatna
Cyperus michelianus	Dichostylis Michela
Cyperus papyrus	Cibora papirusowa
Cypripedium calceolus	Obuwik pospolity
Cypripedium macranthos	Obuwik wielkopłatkowy
Cystopteris fragilis	Paprotnica krucha
Cystopteris montana	Paprotnica górska
Cystopteris sudetica	Paprotnica sudecka
Cytisus hirsutus	Szczodrzeniec szorstki
Cytisus praecox	Szczodrzeniec wczesny
Cytisus ruthenicus	Szczodrzeniec ruski
Cytisus scoparius	Żarnowiec miotlasty
Dactylis glomerata	Kupkówka pospolita
Dactylorhiza baltica	Kukułka bałtycka
Dactylorhiza fuchsii	Kukułka Fuchsa
Dactylorhiza incarnata	Kukułka krwista
Dactylorhiza incarnata subsp. ochroleuca	Kukułka krwista żółtawa
Dactylorhiza maculata	Kukułka plamista
Dactylorhiza majalis	Kukułka szerokolistna
Dactylorhiza russowii	Kukułka Russowa
Dactylorhiza ruthei	Kukułka Ruthego
Dactylorhiza sambucina	Kukułka bzowa
Dactylorhiza traunsteineri	Kukułka Traunsteinera
Dactylorhiza viridis	Ozorka zielona
Dahlia ×hybrida	Dalia zmienna
Damasonium alisma	Damasonium alisma
Danthonia decumbens	Izgrzyca przyziemna
Daphne alpina	Wawrzynek alpejski
Daphne cneorum	Wawrzynek główkowy
Daphne mezereum	Wawrzynek wilczełyko
Daphne striata	Wawrzynek kreskowany
Darmera peltata	Tarczownica tarczowata
Dasiphora fruticosa	Pięciornik krzewiasty
Datura inoxia	Bieluń indiański
Datura stramonium	Bieluń dziędzierzawa
Daucus carota	Marchew zwyczajna
Davidia involucrata	Dawidia chińska
Decaisnea insignis	Palecznik chiński
Delonix regia	Wianowłostka królewska
Delphinium elatum	Ostróżka wyniosła
Delphinium oxysepalum	Ostróżka tatrzańska
Deschampsia antarctica	Śmiałek antarktyczny
Deschampsia caespitosa	Śmiałek darniowy
Deschampsia flexuosa	Śmiałek pogięty
Deschampsia setacea	Śmiałek szczeciniasty
Descurainia sophia	Stulicha psia
Desmostachya bipinnata	Desmostachya bipinnata
Deutzia scabra	Żylistek szorstki
Dianthus arenarius	Goździk piaskowy
Dianthus armeria	Goździk kosmaty
Dianthus barbatus	Goździk brodaty
Dianthus carthusianorum	Goździk kartuzek
Dianthus caryophyllus	Goździk ogrodowy
Dianthus chinensis	Goździk chiński
Dianthus collinus	Goździk łysy
Dianthus compactus	Goździk skupiony
Dianthus deltoides	Goździk kropkowany
Dianthus glacialis	Goździk lodowcowy
Dianthus gratianopolitanus	Goździk siny
Dianthus nitidus	Goździk lśniący
Dianthus plumarius	Goździk postrzępiony
Dianthus pungens	Dianthus pungens
Dianthus superbus	Goździk pyszny
Dicksonia antarctica	Diksonia antarktyczna
Dictamnus albus	Dyptam jesionolistny
Didymodon fallax	Paroząb mylny
Didymodon ferrugineus	Paroząb rdzawy
Didymodon luridus	Paroząb śniady
Didymodon rigidulus	Paroząb sztywny
Didymodon spadiceus	Paroząb kasztanowaty
Didymodon tophaceus	Paroząb tufowy
Didymodon vinealis	Paroząb winnicowy
Digitalis ferruginea	Naparstnica rdzawa
Digitalis grandiflora	Naparstnica zwyczajna
Digitalis lanata	Naparstnica wełnista
Digitalis lutea	Naparstnica żółta
Digitalis purpurea	Naparstnica purpurowa
Digitaria ischaemum	Palusznik nitkowaty
Digitaria sanguinalis	Palusznik krwawy
Dimorphotheca sinuata	Dimorfoteka zatokowa
Dionaea muscipula	Muchołówka amerykańska
Diospyros kaki	Hurma wschodnia
Diospyros lotus	Hurma kaukaska
Diphasiastrum alpinum	Widlicz alpejski
Diphasiastrum complanatum	Widlicz spłaszczony
Diphasiastrum issleri	Widlicz Isslera
Diphasiastrum tristachyum	Widlicz cyprysowy
Diphasiastrum zeilleri	Widlicz Zeillera
Diplotaxis muralis	Dwurząd murowy
Diplotaxis tenuifolia	Dwurząd wąskolistny
Dipsacus fullonum	Szczeć pospolita
Dipsacus pilosus	Szczeć owłosiona
Dipsacus sativus	Szczeć sukiennicza
Dombeya wallichii	Dombeja Wallicha
Doronicum austriacum	Omieg górski
Doronicum clusii	Omieg kozłowiec
Doronicum orientale	Omieg wschodni
Dorycnium herbaceum	Szyplin zielny
Draba aizoides	Głodek mrzygłód
Draba bruniifolia	Głodek kaukaski
Draba dubia	Głodek mroźny
Draba nemorosa	Głodek żółty
Draba siliquosa	Głodek karyntyjski
Draba tomentosa	Głodek kutnerowaty
Dracaena draco	Dracena smocza
Dracocephalum moldavica	Pszczelnik mołdawski
Dracocephalum ruyschiana	Pszczelnik wąskolistny
Dracunculus vulgaris	Drakunkulus zwyczajny
Drosera anglica	Rosiczka długolistna
Drosera intermedia	Rosiczka pośrednia
Drosera rotundifolia	Rosiczka okrągłolistna
Dryas octopetala	Dębik ośmiopłatkowy
Dryopteris carthusiana	Nerecznica krótkoostna
Dryopteris cristata	Nerecznica grzebieniasta
Dryopteris dilatata	Nerecznica szerokolistna
Dryopteris filix-mas	Nerecznica samcza
Dryopteris mindshelkensis	Nerecznica Villara
Dryptodon decipiens	Strzechwowiec zwodniczy
Dryptodon orbicularis	Strzechwowiec okrągły
Dysphania ambrosioides	Komosa piżmowa
Ecballium elaterium	Tryskawiec sprężysty
Echinacea angustifolia	Jeżówka wąskolistna
Echinacea purpurea	Jeżówka purpurowa
Echinochloa crus-galli	Chwastnica jednostronna
Echinochloa frumentacea	Chwastnica zbożowa
Echinocystis lobata	Kolczurka klapowana
Echinops bannaticus	Echinops bannaticus
Echinops sphaerocephalus	Przegorzan kulisty
Echium vulgare	Żmijowiec zwyczajny
Egeria densa	Moczarka argentyńska
Eichhornia crassipes	Eichornia gruboogonkowa
Elaeagnus angustifolia	Oliwnik wąskolistny
Elaeagnus rhamnoides	Rokitnik zwyczajny
Elatine alsinastrum	Nadwodnik okółkowy
Elatine hexandra	Nadwodnik sześciopręcikowy
Elatine hydropiper	Nadwodnik naprzeciwlistny
Elatine triandra	Nadwodnik trójpręcikowy
Eleocharis acicularis	Ponikło igłowate
Eleocharis carniolica	Ponikło kraińskie
Eleocharis mamillata	Ponikło sutkowate
Eleocharis multicaulis	Ponikło wielołodygowe
Eleocharis ovata	Ponikło jajowate
Eleocharis palustris	Ponikło błotne
Eleocharis parvula	Ponikło maleńkie
Eleocharis quinqueflora	Ponikło skąpokwiatowe
Elettaria cardamomum	Kardamon malabarski
Eleusine coracana	Manneczka łękowata
Eleutherococcus senticosus	Eleuterokok kolczasty
Elodea canadensis	Moczarka kanadyjska
Elodea nuttallii	Moczarka delikatna
Elymus caninus	Perz psi
Elymus farctus	Perz sitowy
Elymus hispidus	Perz siny
Elymus repens	Perz właściwy
Embothrium coccineum	Embothrium coccineum
Emex spinosa	Emex spinosa
Empetrum hermaphroditum	Bażyna czarna obupłciowa
Empetrum nigrum	Bażyna czarna
Enhalus acoroides	Enhalus acoroides
Ephedra pachyclada	Ephedra pachyclada
Ephedra sinica	Przęśl chińska
Ephemerum serratum	Jętniczek piłkowany
Epilobium alpestre	Wierzbownica okółkowa
Epilobium angustifolium	Wierzbówka kiprzyca
Epilobium collinum	Wierzbownica wzgórzowa
Epilobium hirsutum	Wierzbownica kosmata
Epilobium montanum	Wierzbownica górska
Epilobium nutans	Wierzbownica zwieszona
Epilobium palustre	Wierzbownica błotna
Epilobium parviflorum	Wierzbownica drobnokwiatowa
Epilobium roseum	Wierzbownica bladoróżowa
Epilobium tetragonum	Wierzbownica czworoboczna
Epipactis albensis	Kruszczyk połabski
Epipactis atrorubens	Kruszczyk rdzawoczerwony
Epipactis greuteri	Kruszczyk Greutera
Epipactis helleborine	Kruszczyk szerokolistny
Epipactis helleborine subsp. orbicularis	Kruszczyk krótkolistny
Epipactis leptochila	Kruszczyk ostropłatkowy
Epipactis microphylla	Kruszczyk drobnolistny
Epipactis muelleri	Kruszczyk Muellera
Epipactis palustris	Kruszczyk błotny
Epipactis purpurata	Kruszczyk siny
Epipactis × schmalhausenii	Kruszczyk Schmalhausena
Epipogium aphyllum	Storzan bezlistny
Episcia cupreata	Episcia cupreata
Equisetum arvense	Skrzyp polny
Equisetum fluviatile	Skrzyp bagienny
Equisetum hyemale	Skrzyp zimowy
Equisetum palustre	Skrzyp błotny
Equisetum pratense	Skrzyp łąkowy
Equisetum ramosissimum	Skrzyp gałęzisty
Equisetum sylvaticum	Skrzyp leśny
Equisetum telmateia	Skrzyp olbrzymi
Equisetum variegatum	Skrzyp pstry
Eragrostis minor	Miłka drobna
Eranthis hyemalis	Rannik zimowy
Erica carnea	Wrzosiec krwisty
Erica tetralix	Wrzosiec bagienny
Erica ×darleyensis	Wrzosiec darlejski
Erigeron acer	Przymiotno ostre
Erigeron alpinus	Przymiotno alpejskie
Erigeron annuus	Przymiotno białe
Erigeron canadensis	Konyza kanadyjska
Erigeron hungaricus	Przymiotno węgierskie
Erigeron macrophyllus	Przymiotno karpackie
Erigeron ramosus	Przymiotno gałęziste
Erigeron uniflorus	Przymiotno jednokoszyczkowe
Erinus alpinus	Erynus alpejski
Eriobotrya japonica	Nieśplik japoński
Eriophorum angustifolium	Wełnianka wąskolistna
Eriophorum gracile	Wełnianka delikatna
Eriophorum latifolium	Wełnianka szerokolistna
Eriophorum scheuchzeri	Wełnianka Scheuchzera
Eriophorum vaginatum	Wełnianka pochwowata
Erodium cicutarium	Iglica pospolita
Erophila verna	Wiosnówka pospolita
Eruca vesicaria	Rokietta siewna
Eryngium alpinum	Mikołajek alpejski
Eryngium campestre	Mikołajek polny
Eryngium creticum	Mikołajek kreteński
Eryngium foetidum	Eryngium foetidum
Eryngium maritimum	Mikołajek nadmorski
Eryngium planum	Mikołajek płaskolistny
Erysimum cheiranthoides	Pszonak drobnokwiatowy
Erysimum hungaricum	Pszonak pieniński
Erysimum nevadense	Erysimum nevadense
Erysimum odoratum	Pszonak pannoński
Erysimum repandum	Pszonak obłączysty
Erysimum wittmannii	Pszonak Wittmanna
Erythrina crista-galli	Erytryna grzebieniasta
Erythronium dens-canis	Psiząb liliowy
Erythronium propullans	Erythronium propullans
Erythroxylum coca	Krasnodrzew pospolity
Eschscholzia californica	Pozłotka kalifornijska
Eucalyptus camaldulensis	Eukaliptus kamaldulski
Eucalyptus globulus	Eukaliptus gałkowy
Eucalyptus gunnii	Eukaliptus Gunna
Eucommia ulmoides	Eukomia wiązowata
Eugenia uniflora	Goździkowiec jednokwiatowy
Euonymus europaeus	Trzmielina pospolita
Euonymus fortunei	Trzmielina Fortune’a
Euonymus verrucosus	Trzmielina brodawkowata
Eupatorium cannabinum	Sadziec konopiasty
Euphorbia amygdaloides	Wilczomlecz migdałolistny
Euphorbia angulata	Wilczomlecz kątowy
Euphorbia bourgeana	Euphorbia bourgeana
Euphorbia candelabrum	Wilczomlecz kandelabrowy
Euphorbia cyparissias	Wilczomlecz sosnka
Euphorbia dulcis	Wilczomlecz słodki
Euphorbia epithymoides	Wilczomlecz pstry
Euphorbia esula	Wilczomlecz lancetowaty
Euphorbia exigua	Wilczomlecz drobny
Euphorbia falcata	Wilczomlecz sierpowaty
Euphorbia helioscopia	Wilczomlecz obrotny
Euphorbia lathyris	Wilczomlecz groszkowy
Euphorbia leuconeura	Wilczomlecz białounerwiony
Euphorbia lucida	Wilczomlecz błyszczący
Euphorbia marginata	Wilczomlecz obrzeżony
Euphorbia milii	Wilczomlecz okazały
Euphorbia obesa	Wilczomlecz opasły
Euphorbia palustris	Wilczomlecz błotny
Euphorbia peplus	Wilczomlecz ogrodowy
Euphorbia pulcherrima	Wilczomlecz nadobny
Euphrasia coerulea	Świetlik błękitny
Euphrasia micrantha	Świetlik wątły
Euphrasia minima	Świetlik maleńki
Euphrasia nemorosa	Świetlik gajowy
Euphrasia officinalis subsp. kerneri	Świetlik nadobny
Euphrasia rostkoviana	Świetlik łąkowy
Euphrasia stricta	Świetlik wyprężony
Eutrema japonica	Chrzan japoński
Eutrochium maculatum	Sadziec plamisty
Fagonia cretica	Fagonia cretica
Fagopyrum esculentum	Gryka zwyczajna
Fagopyrum tataricum	Gryka tatarka
Fagus grandifolia	Buk wielkolistny
Fagus sylvatica	Buk zwyczajny
Falcaria vulgaris	Sierpnica pospolita
Fallopia aubertii	Rdestówka Auberta
Fallopia baldschuanica	Rdestówka bucharska
